title,point,hit,review,star,address,telephone
사브서울,4.7,22928,25,789,서울특별시 강남구 논현로175길 6 B1<br><br> 지번 서울시 강남구 신사동 580-5 B1,02-512-4939
제스트,4.6,14119,28,564,서울특별시 강남구 도산대로55길 26 하늘빌딩 1F<br><br> 지번 서울시 강남구 청담동 88-1 하늘빌딩 1F,010-3177-8801
PDR,4.4,14681,12,770,서울특별시 강남구 언주로134길 24 2F<br><br> 지번 서울시 강남구 논현동 116-1 2F,02-3444-8880
피아마,4.4,6183,5,276,서울특별시 강남구 도산대로70길 9 2F<br><br> 지번 서울시 강남구 청담동 13 2F,0507-1307-5434
화이트와인개러지,4.3,20427,17,943,서울특별시 강남구 삼성로149길 7 B1<br><br> 지번 서울시 강남구 청담동 12-15 B1,02-540-7560
파인앤코,4.3,12916,14,519,서울특별시 강남구 선릉로157길 33 B1<br><br> 지번 서울시 강남구 신사동 657 B1,0507-1335-7434
임바이브,4.3,9124,9,248,서울특별시 강남구 강남대로124길 3-9 B1<br><br> 지번 서울시 강남구 논현동 143-9 B1,02-6951-2880
리커테이션,4.3,13421,14,729,서울특별시 강남구 압구정로10길 13 마사빌딩 B1<br><br> 지번 서울시 강남구 신사동 532-4 마사빌딩 B1,02-6339-5337
유희,4.3,3149,7,139,서울특별시 강남구 도산대로11길 31-8 B1<br><br> 지번 서울시 강남구 신사동 518-14 B1,02-6014-9808
로비라운지바,4.2,34297,37,495,서울특별시 강남구 테헤란로 521 그랜드인터컨티넨탈 서울 파르나스 1F<br><br> 지번 서울시 강남구 삼성동 159-8 그랜드인터컨티넨탈 서울 파르나스 1F,02-559-7603
복싱타이거,4.2,18523,21,668,서울특별시 강남구 강남대로156길 13 B1<br><br> 지번 서울시 강남구 신사동 510-3 B1,02-540-2399
획,4.2,10474,8,422,서울특별시 강남구 강남대로156길 31<br><br> 지번 서울시 강남구 신사동 517-10,0507-1382-8332
작,4.2,13027,9,417,서울특별시 강남구 논현로95길 14 1F<br><br> 지번 서울시 강남구 역삼동 640-11 1F,02-501-2342
장생건강원,4.1,22973,81,977,서울특별시 강남구 강남대로124길 23<br><br> 지번 서울시 강남구 논현동 145-12,070-7543-1077
