name,score,hit,review,star,address,telephone,image
사브서울,4.7,22986,25,789,서울특별시 강남구 논현로175길 6 B1<br><br> 지번 서울시 강남구 신사동 580-5 B1,02-512-4939,"https://mp-seoul-image-production-s3.mangoplate.com/2196417_1649124497884742.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
제스트,4.6,14145,28,564,서울특별시 강남구 도산대로55길 26 하늘빌딩 1F<br><br> 지번 서울시 강남구 청담동 88-1 하늘빌딩 1F,010-3177-8801,"https://mp-seoul-image-production-s3.mangoplate.com/1047892_1635373424034393.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
PDR,4.4,14714,12,771,서울특별시 강남구 언주로134길 24 2F<br><br> 지번 서울시 강남구 논현동 116-1 2F,02-3444-8880,"https://mp-seoul-image-production-s3.mangoplate.com/427448/172778_1626153764162_105705?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
피아마,4.4,6206,5,276,서울특별시 강남구 도산대로70길 9 2F<br><br> 지번 서울시 강남구 청담동 13 2F,0507-1307-5434,"https://mp-seoul-image-production-s3.mangoplate.com/486805/1100616_1654527236870_40737?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
화이트와인개러지,4.3,20435,17,943,서울특별시 강남구 삼성로149길 7 B1<br><br> 지번 서울시 강남구 청담동 12-15 B1,02-540-7560,"https://mp-seoul-image-production-s3.mangoplate.com/872233_1624526933728285.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
파인앤코,4.3,12927,14,519,서울특별시 강남구 선릉로157길 33 B1<br><br> 지번 서울시 강남구 신사동 657 B1,0507-1335-7434,"https://mp-seoul-image-production-s3.mangoplate.com/1789241_1632494618690449.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
임바이브,4.3,9135,9,251,서울특별시 강남구 강남대로124길 3-9 B1<br><br> 지번 서울시 강남구 논현동 143-9 B1,02-6951-2880,"https://mp-seoul-image-production-s3.mangoplate.com/479674_1574939194465002.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
리커테이션,4.3,13432,14,729,서울특별시 강남구 압구정로10길 13 마사빌딩 B1<br><br> 지번 서울시 강남구 신사동 532-4 마사빌딩 B1,02-6339-5337,"https://mp-seoul-image-production-s3.mangoplate.com/158567_1556275370307233.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
유희,4.3,3154,7,139,서울특별시 강남구 도산대로11길 31-8 B1<br><br> 지번 서울시 강남구 신사동 518-14 B1,02-6014-9808,"https://mp-seoul-image-production-s3.mangoplate.com/716698_1670168770196085.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
로비라운지바,4.2,34319,37,495,서울특별시 강남구 테헤란로 521 그랜드인터컨티넨탈 서울 파르나스 1F<br><br> 지번 서울시 강남구 삼성동 159-8 그랜드인터컨티넨탈 서울 파르나스 1F,02-559-7603,"https://mp-seoul-image-production-s3.mangoplate.com/1592769_1580093661010956.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
복싱타이거,4.2,18530,21,668,서울특별시 강남구 강남대로156길 13 B1<br><br> 지번 서울시 강남구 신사동 510-3 B1,02-540-2399,"https://mp-seoul-image-production-s3.mangoplate.com/1789241_1631753208375621.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
획,4.2,10481,8,422,서울특별시 강남구 강남대로156길 31<br><br> 지번 서울시 강남구 신사동 517-10,0507-1382-8332,"https://mp-seoul-image-production-s3.mangoplate.com/1743214_1638239238728447.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
작,4.2,13031,9,417,서울특별시 강남구 논현로95길 14 1F<br><br> 지번 서울시 강남구 역삼동 640-11 1F,02-501-2342,"https://mp-seoul-image-production-s3.mangoplate.com/585014_1536152409081440.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
장생건강원,4.1,22983,81,977,서울특별시 강남구 강남대로124길 23<br><br> 지번 서울시 강남구 논현동 145-12,070-7543-1077,"https://mp-seoul-image-production-s3.mangoplate.com/389883/449685_1600725704828_6115?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
르챔버,4.1,188590,97,5697,서울특별시 강남구 도산대로55길 42 B1<br><br> 지번 서울시 강남구 청담동 83-4 B1,02-6337-2014,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/36223_1468173699979936.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
심퍼티쿠시,4.1,16930,20,601,서울특별시 강남구 강남대로154길 16 1F 101호<br><br> 지번 서울시 강남구 신사동 512-3 1F 101호,070-7661-2017,"https://mp-seoul-image-production-s3.mangoplate.com/26135_1608203299685982.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
커피 바 K,4.1,38293,57,984,서울특별시 강남구 언주로 517<br><br> 지번 서울시 강남구 역삼동 675-3,02-516-1970,"https://mp-seoul-image-production-s3.mangoplate.com/514/172778_1613801435628_81272?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인웍스,4.1,22833,11,687,서울특별시 강남구 압구정로 165 압구정 현대백화점 본점 B1<br><br> 지번 서울시 강남구 압구정동 429 압구정 현대백화점 본점 B1,02-3449-5490,"https://mp-seoul-image-production-s3.mangoplate.com/1379285_1587227447395381.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
봉쥬르와인살롱,4.1,7194,10,101,서울특별시 강남구 강남대로122길 5 유창빌딩<br><br> 지번 서울시 강남구 논현동 164-12 유창빌딩,02-547-2001,"https://mp-seoul-image-production-s3.mangoplate.com/398865/840737_1565130304248_435511?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인소셜,4.1,3547,7,178,서울특별시 강남구 압구정로46길 71-1 2F<br><br> 지번 서울시 강남구 신사동 648-23 2F,0507-1445-0604,"https://mp-seoul-image-production-s3.mangoplate.com/1296730_1647445260670511.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
폴스타,4,45118,50,1509,서울특별시 강남구 도산대로45길 10-11<br><br> 지번 서울시 강남구 신사동 648-14,02-514-3450,"https://mp-seoul-image-production-s3.mangoplate.com/278041/230933_1483800780611_51015?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
하이볼가든,4,52094,36,2026,서울특별시 강남구 논현로161길 39<br><br> 지번 서울시 강남구 신사동 552-3,070-8886-4636,"https://mp-seoul-image-production-s3.mangoplate.com/856498_1615443902525773.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
바챕터원,4,20679,27,681,서울특별시 강남구 논현로175길 101<br><br> 지번 서울시 강남구 신사동 525-19,02-543-0308,"https://mp-seoul-image-production-s3.mangoplate.com/321425/777189_1494139020928_34051?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
