type,name,eng_name,cocktail_contents,recipe_contents
alcohol,네그로니,Negroni,이탈리아의 네그로니 백작에서 유래한 진 베이스의 칵테일로서 한번도 빠짐없이 공식 레시피에 올랐습니다.,1.올드 패션드 그라스에 위의 재료를 넣는다.\n2.오렌지 슬라이스로 장식한다.
alcohol,다이키리,Daiquiri,철광산 노동자들에게 배급되는 럼에 다양한 재료를 혼합해서 만든 음료에서 유래됐습니다.,1.얼음을 갈아 마티니 글라스에 따른다.\n2.체리나 라임으로 장식한다
alcohol,드라이 마티니,Dry Martini,진 베이스의 역사가 오래된 클래식 칵테일로서 칵테일의 왕으로 불리고 있습니다.,1.진과 베르무트를 넣고 잘 젓는다.\n2.차갑게 식힌 마티니 글라스에 얼음을 걸러내고 따라준다.\n3.레몬 껍질로 오일을 뿌리거나 올리브로 장식
alcohol,라모스 피즈,Ramos Fizz,한 잔을 제조하는데 12분이 걸리는 칵테일로 유명하며 현재는 여러가지 방법이 개발되어 12분까지는 걸리지 않는다고합니다.,1.소다수를 제외한 재료들을 얼음과 함께 2분동안 쉐이킹한다.\n2.얼음을 걸러낸 후 다시 1분동안 셰이킹한다.\n3.하이볼 글라스에 따르고 소다수로 잔을 채워준다.
alcohol,라스트 워드,Last Word,미국의 유명한 코미디언이 공연의 마지막을 낭독으로 끝마친다는 사실을 특징삼아 만들어진 칵테일로서 미국 전역에서 유행했습니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.진에서 라이 위스키로 바꾸고 라임주스 대신 레몬주스를 사용하면 '파이널워드(Final Word)가 된다.'
alcohol,러스티 네일,Rusty Nail,재료와 레시피가 무척 간단하지만 그만큼 재료의 질이 중요한 칵테일입니다. 녹슨 못이라는 의미의 명칭은 칵테일의 색깔을 비유한 것입니다.,1.위의 재료들을 얼음과 함께 올드 패션드 글라스에 순서대로 따라준다.\n2.가볍게 저어준다.\n3.단 맛을 좋아하면 드람뷔를 더 넣어도 된다.
alcohol,마르티네스,Martinez,진을 베이스로 하며 마티니와 맨해튼의 중간 형태를 갖고있습니다. 제조에 따라 기원과 레시피가 다양합니다,1.위의 재료들을 얼음과 함께 믹싱 글라스에 넣고 휘젓는다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.
alcohol,맨해튼,Manhattan,위스키 베이스로 칵테이르이 여왕이라고 불리고 있습니다. 달콤한 맛이 좋기때문에 식전주로도 분류됩니다.,1.위의 재료들을 얼음과 함께 믹싱 글라스에 넣고 휘젓는다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.체리로 장식한다.
alcohol,메리 픽포드,Mary Pickford,럼 베이스로 금주법시대에 탄생한 클래식 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.장식은 따로 없지만 체리를 사용하는 경우가 많다.
alcohol,몽키 글랜드,Monkey Gland,진 베이스의 칵테일입니다.,1.위의 재료들을 얼음과 함께 10초정도 쉐이킹한다.\n2.얼음을 걸러내고 차갑게 식힌 마티니 글라스에 따라준다.\n3.장식은 따로 없지만 저민 오렌지 또는 오렌지 껍질로 해도 좋다.
