cocktail_no,url
1,https://cocktailhigh.com/web/upload/maypop/reci_03.png
2,https://blog.kakaocdn.net/dn/dH211O/btqGkVEFYzC/WwNatQJ1LVgHvXuR1vf741/img.jpg
3,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FEh8y4%2FbtqPyrn0Q1F%2F8SjDB8t1oQ4KvdzBLM10e1%2Fimg.png
4,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_COCK_MASTER/54.ramos_fizz.jpg
5,https://www.liquor.com/thmb/phSQYzvYOOTk_P944FXheJqYND8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/last-word-720x720-primary-c83c917809af47bf9be9a01c628bbd5e.jpg
6,https://blog.kakaocdn.net/dn/cgnO2D/btqGmQjNbVv/5biBiKLz2oqXNeWFWq0Ha0/img.jpg
7,https://upload.wikimedia.org/wikipedia/commons/d/dc/Martinez_Cocktail.jpg
8,https://www.acouplecooks.com/wp-content/uploads/2020/03/Manhattan-Cocktail-059s2.jpg
9,https://upload.wikimedia.org/wikipedia/commons/1/1a/Mary_Pickford_Cocktail.jpg
10,https://www.thespruceeats.com/thmb/U6Ezws6Lt8bNy3LmJWfh5vTov8k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/monkey-gland-cocktail-recipe-7593220-hero-5beae93646e0fb002d6e671c.jpg
11,https://www.panningtheglobe.com/wp-content/uploads/2017/08/boulevardier-3-web.jpg
12,https://www.thespruceeats.com/thmb/wHi_UO5HMo_RC5n_ahMoXUyLuG8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/vieux-carre-cocktail-recipe-761512-hero-6438e708bfe14454b9ff17168163b12a.jpg
13,https://static01.nyt.com/images/2018/12/05/dining/05jewelrex/05jewelrex-articleLarge.jpg
14,http://shake-that.com/wp-content/uploads/2015/07/Between-The-Sheets-780x835.jpg
15,https://img.delicious.com.au/rj9SGmTq/del/2020/12/sidecar-143900-1.jpg
16,https://www.liquor.com/thmb/4SBscQ08AosVxR0BQ2U3Vyz2K-M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/original-sazerac-720x720-primary-85570828fe894c04a13bd414aaa130e8.jpg
17,https://cdn.diffords.com/contrib/stock-images/2017/1/05/201757af30bf0f757d4aec14292e19ab3f24.jpg
18,https://us.inshaker.com/uploads/cocktail/promo/16/medium_1580912079-Americano_______960_600.jpg
19,https://i1.daumcdn.net/thumb/C230x300/?fname=https://blog.kakaocdn.net/dn/bDeUpt/btqHbZlKlOf/HUhVh8yyocmbHQrdFHHhN1/img.jpg
20,https://vinepair.com/wp-content/uploads/2020/06/aviation_card.jpg
21,https://iba-world.com/wp-content/uploads/2021/02/IBA-TU-03-Angel-Face.jpg
22,"https://assets.bonappetit.com/photos/58409ff731e0aa8a6cd383f8/5:7/w_648,h_908,c_limit/bas-best-old-fashioned.jpg"
23,https://img.delicious.com.au/s_mk-lKm/del/2020/12/whiskey-sour-143899-1.jpg
24,https://www.thespruceeats.com/thmb/MjPArewjLC7k833B_I00y6SHjsw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/john-collins-whiskey-highball-recipe-759714-hero-01-16a85b92c1fa41ba9d41d83eb2fdce06.jpg
