url,cocktail_no
https://w.namu.la/s/c562c5a01fa35345bc8653d32e986c1911fc57d378eeb90e7553258c02993a5102ab4d7e126aedf0232576bc6ea4b8e26af497e30d80460ea446bdaab3bf4a3fb1eec7275fa38972639fbf6340b1c73ac54cea12d868a1e7c3edd47736278a352c3d07bc8f336177e0fe03130fdfc7d4,1
https://w.namu.la/s/97f0cfd08fb842d9db1cba1682709e36d08aaaaf7c08d166bd3ede9ab26fe1f60da23625be4d01e22758a567637251d331cbccc99ea8fdc39651d57f96a754e75593bfadfdadbb942a9715d651dc1219a2d252ddf7ae49e53b2198d7968147c3,2
https://w.namu.la/s/f2c06978a969687cfd1497652bbc2886a2d5c23542d28fb01f34b4de62354304e3c43f183a2e8703098562e421b0b9bf4fcd63670aeffe65d75255a361a1837559bcb5783062851be8b87a3087a5f0c771a8b9c96becbec25ada2b0e15c278f8,3
https://w.namu.la/s/48046e55339547f360560af0425aaf0e006ff4e7d1cc612209c4d00025a9b8139ce7842ab5b58a74991e4639891e6b44a71d64ee0e151d3125795db9857f27393ef6c3a9be24dacfe04b70ee4ef106407c6af0ed87ab0e8306e9ca5f15d8f000,4
https://w.namu.la/s/11992837f7cbfcaffe2bb490b279427be879bfe05f53105d587e3633adac5ea6f88e2c4f3f5521735fa23ed60b5f896b921b55f58c5850d9f6565dce9c5a15c71e60a302f0497526e42c545927ce878d28f1338d033a9b132ef5f18a85ded5b6,5
https://w.namu.la/s/6ac1a5cf031de224c3c722a6064b85e847903c821953d68eead1f5a84e0b270d2baefad41c7e45ad385701fa97e875672eda3083cfbb6a316473a32044ce9af7cedabdda69a6d314b427cb4ec419627bcd33ec33533a88ef84d5301d3852d21e3c82f46858c1fbf3d06163b5d1aec76f,6
https://w.namu.la/s/4debbaf42e9c8e70dd4e1c05c75eb0985f325e1af5801e6a41e4fb5e69461089072a4c05733532e36fd47a3445fbbddcd22037755fe1e4116feead065915477741c851d5972d63da8f6764732f96a176f95eab2e2a2e6b4b982205f3a241090e,7
https://w.namu.la/s/1049487f6e1ba13a3bbfa80bb5f02425e658403578192f239259f8ece790d742dbd9f661ba160f1ebcc79d763438a6522d2627252ed887935032ac34b7eb1cc0aa537fb6ec06a71af754e7a0459cf9e59c22a05e0eab9469df26128bfc8be644,8
https://w.namu.la/s/15a6bbaf9a4083e9523ef834a5d3d334943af80b786c33e9822c29c663529466ac8d081a08f8119114e971abbf31732bb6aa8168eb6b50c1a7fd4a847a2fe139898e77109034b3cfbd4ac29b5c258e305703c5c76590bf4b0f03eef8ad9d143e,9
https://w.namu.la/s/80296022aed905e15040618a49d5eb606b59bbfd2b87c9c25b4655151ceec1da55fbcc4b7d7bac23bfeb4fe124914569ef25ba197a3ade4939fed56355b21a0cbba4f175cb8eda2be9d3e7e961c8bbe702ec40ef827c9ca013f15ba875b3c9de,10
https://w.namu.la/s/05f094357b8025b9e4a01bcf57cf671c7bee7005440cbd3a92aabf9b95a5c7b4f66a3fd29cc72acfe83eda4ba154c3a5c434a0c75ae20db80ce37e09616758837de9fa14ade33014ee96d718541f608bd6094d6a3514a16aadc4f580d09c74d7,11
https://w.namu.la/s/253c61ade091261c514b1ae1a7ce169f0e8d5829724a6234619893f053d1f749eef32c1e3b3c8d8393474c63ecdaa62badd84cd26740431b47818f47cfb5e252489536261cbd50d0248eba09848e825f67ea4fc5c8fb36f9d1d600cc65799cbc,12
https://w.namu.la/s/95e74e8ee3542d13a90d38808207cdc41d198e3e80c80bf27e7a0bdbdd97aac5bcadc325e7db59d1cd91405f02cd7cc26bad3a30187f3090e25a6da44196de579fa01edfeb10fe92d4cb06970ecc947000312376b3a72280a46a6159b100ef85339830068d91cd43c824c681c652f718,13
https://w.namu.la/s/d359ce81e877e7cb38a5df3dd640d7d8f1028f809f7e73f6e73aa5c670a9dc059528d3446140d502507b9b0ab3279529bc369a950b516cef5d44168bd03772368a646d792690e6204857cb78efe36b061def0ee25ce737b0ba9d247b1fb148dd,14
https://w.namu.la/s/9dc266954dda0acbb75a16f363ab4908d0e7071dfe4756ce6757cbcb53f1de7afcdafcb0411298c29bba732fd71b7964ea31e156e4968feaf05f6995936dbe59d153a5f0828c85943c4be52baa35ca0ba8b3eafc7b89138e7f1b23165f1e63b0ccfee49d093af7b3c1faed1164fb38fa,15
https://w.namu.la/s/8cd6f5bec5c6398c4117c256d7086d6566d8ae61b0b6e9e04661a2199c1147f8f74b4b039fc2313b66c3c58f852af24aa92622029454d21aaa05687a44d2a7e0f2872e527abbbfe8e239cde567d6563ea545800fa7e880f268c250ddec9cde48fc2e0ca3a064e84e0abb47d06faec968,16
https://w.namu.la/s/70e8a7a5750e2e8b2bcfb4fecf1598a5f8ca001b7dabeb793b1c24ba6c1acb8dd21deddabe8d75a4b75bd5e9f3beff66256511edc8173745c359fc176c592f68904c2232f7a1336a897cfce4f567b384a4233196ac71a640e0226e276e094d95,17
https://w.namu.la/s/c33d935772080b786503fd445642d916e98d8617027a4a70bf563bd3b9409a752b62e8050a90af3c97a6b7a7c0c5be8abaffc27815b28d976849b8ceb07b7481dabb8810f5af934ff604b13dff1a39d235f8348432c3a5a14b73b91e011b4d50,18
https://w.namu.la/s/ae6dabee0819a516aaa3a3048327bc868878c43fbd27a7ea79dd588336a275b6e2236aca0af50e183ff898a840bc1955f3fd99691e6c5d007bb605dd39f751e18320e7039795a7060589abf76ebd066d05cc14064dd363633fea75949df580f2,19
https://w.namu.la/s/f876ab840b3e9fe7a41b27227599a8d27e6867cc070121047c613efeb6b8ad35086f39afc8f891be57c5e0d5eba5c01a51d6c401cbc6adc055c9db475b948d0f04105c15bcc38ec39e817f11f64fae1fde3812b5557cd41e43c05e0e41fe45aa32fd3ef6e181c9aa215afb81965c9600,20
https://w.namu.la/s/ad77b5e847f81b9a4de43ec9d9daebc0e6092dfc6dba3e9db66c0c26ce8636b7144d8b5f3d61b8ed3e0d9487691aa361229c7363379564efb2f27c574d4479329c06a78ff094feb75a8977d3cbee9cf43e81084ef5eba07d0e6e78a6bfa419de,21
https://w.namu.la/s/30d795fc7724eb53c08ef13897f26f0fa8fb4b2a469ade76fe4d785aa68bcc02fe9ed62fe4ec6266727058670f6f2ee1c24926bac7efc6d91fa30b48598e679dac84048b6426305cb3acc2a29f67f7a373b88d4976d1cd8757af044c0ddbe0382cd4a3a2bc4f2f7f1d5a943b8ece2649,22
https://w.namu.la/s/56c656242a67dbff1857c2b8b73e262a6af24d1515696070da13a4bbc48a50819135fcc2b61213fa40df96fc3a65588664e189869d5b5909ce1188038b593e374a76d04bdd6b6eb0702f184110f328366be6c59dbfbafe3904bd122ac2f12bd7,23
https://w.namu.la/s/0392e9bef9d6577b31773b337706aa7ab27239841f9d925ae25352739d605e9a21620e55eb262b3a1067a0ca9cb91a8ff2fb1499eaae77db1b56eec59d931679638b1ae8b3232c19fa80837cc2cc2d9a34289a8d9ab4878acb6928f5356caba3,24
https://w.namu.la/s/ede49609e04f345c4719679a52745831d6cb0f0b98881a562a5c89a84c070c8d6bb51d8a4f60fbf895f1ea825e564397a43bcb92e87e94bec8c1d4694f7a145559d8ef739723b351f72f3c2fbc5b1fa754ac36b9d1edef926c09469a3a453492,25
https://w.namu.la/s/a3a946b15360cdd179e58fa7506b5c1ef4a5908b52d157ed11f9315f2d0e4ff169705928b2722d81e5af1f893c40d32d7d723785980920fdfd9d123291889ba36f0e0fd3d94c993fc5d28ded03b2e02becfab8eac3181df43087b52b4977b44e,26
https://w.namu.la/s/80ddb1fadea7cc715d4b81482ed920633aaa689f55dd9d99b7ddd2ccf06b01dc905e6ff3253e24628ba1906f4035258e4b411405e523b25034b43a5a0f980308bed9317c94b9395cb5949c6c825739c9fb55aefff2fa8aef4a040ca61004a4e584f13ea985c6e6350a3533142b1336fa,27
https://w.namu.la/s/52217c087cad621b46f46b1fcb679a117aa56b1247ed7baa79027b4b076b76692bf8ffaae5b51a104d1d56fddc4ee0f11297ccdd847ed9e268a3659ffb6d286ee667d95ed1f9ae5bb32b3215b2a69f82c5665d4e49e27b4b6f9e926b03d86362,28
https://w.namu.la/s/89703f656f74e2307f5f05a570f2147e9a23aa384b7117b4c32e956967b529ec97e843e31f903de464e4b20214694428a073067fbd24e446b88f5ccddbbd4729a4182f57a807be7cd3f77d7d497124be7c7f483d71d0151b7de9c3bc2c8520d5,29
https://w.namu.la/s/126516a0fab1b71ff051bdabd49a06aab7ef0bf0592b457f62bfb560f1a2eb2ed1c8459880368587268d5483a17840f6c34c59516a6e4889d3ff195f2339888eb66f326e204152efa34ebd5c6286d33d182a7e77e217a7f8d26f17e460b02c56,30
https://w.namu.la/s/79cfd3a7b74265cafad09653f10bf3b0a2cbd3cb4ebbc449c86c21dd3297d04461df4cc865c280f88615bcb0033cb5eba8ae09539670a591a26f36a33a5943d5c503f9ed5c1d391aa3136ab0e2e42f9302ccacaa0ac6f8385fff8544bebda76222d78be81fdf32c99e97480207ac15c2,31
https://w.namu.la/s/ab2352dcfb65473be6847517530580113854e69a46c80ce791b05afdccbb71c3ac7cdde792abbc413f8d97f2de3446eb5dadfb6bd6e8f33771c39b14023e8d15c65e25d991e6386f05805fc00b0a8797c2d59edb905d6f467bb64d4cc28528eb846a0b3061effef610829d685e40a263,32
https://w.namu.la/s/3ccd176a527d222d215c9230fdd040df0a2ce1c514b76f8d192e85bffa8293db096f9a9ca811b22eddbbb9b666ee5a47d04da22fe022d00f3054650268cd1b786ce69387094afe518aeab91f19b2686b3bca7bde2d7a4d74097dff0c105d18fba9bd7debb388c44e19cd74c6a098d9b1,33
https://w.namu.la/s/c86a54f62db4f88ecc115d527622904ef6f17b2bdd266a9fa1d7b820bae0fc63a73a37e005ba3ea857bd1d3127fa6b24089deecf9fa2199ab118546828f906b9fa34adcd7b636c40d8359637ef78e281971e9536bc9dc4fab8eaf4060c14e78b3e35020c93183f251d48960c37d7b2b3,34
https://w.namu.la/s/e933e6498a7a12be63261d42d283ab43c964723e38e17aa9806d854d4668a820b275b04b4f8522632631d75fa035e450734dea8e728452bd2890dc39f220ad2fca6221c212d714e7ac6261baf9ac59d2dc6b3e0e8f6e7cbd9e81af4e91967261633d2c6970ced526c688333c9396216f,35
