name,eng_name,type,degree,image,contents
골드 럼,Gold rum,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/057.%EA%B3%A8%EB%93%9C%EB%9F%BC.png,"사탕수수에서 설탕을 만들고 난 찌꺼지인 당밀(Molasses)를 이용하여 증류시켜 만든 증류주로 골드 럼은 앰버 럼으로도 불리며 연한 갈색에 깊은 맛이 특징이다. 2년간 태운 오크통에서 숙성되며 카라멜향과 바닐라, 너츠 등의 향미를 냅니다."
골드슐라거,Goldschlager,strong,43,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/058.%EA%B3%A8%EB%93%9C%EC%8A%90%EB%9D%BC%EA%B1%B0.png,"금박기술자라는 뜻으로 금박이 들어있는 높은 도수의 스위스 계피 리큐르"
꼬냑,Cognac,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/013.%EA%BC%AC%EB%83%9190.png,"프랑스 꼬냑 지방에서 생산되는 브랜디로 2번 증류하고 오크통에서 최소 2년 동안 숙성됩니다. 꼬냑 지방의 포도주가 맛이 빨리 변하기 때문에 오랬동안 저장할 수가 없어 증류했던 것이 오늘날 브랜디를 만들게되었습니다."
다크 럼,Dark rum,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/018.%EB%8B%A4%ED%81%AC%EB%9F%BC.png,"사탕수수에서 설탕을 만들고 난 찌꺼기인 당밀(Molasses)를 이용하여 발효, 증류시켜 만든 증류주. 다크럼은 스모키한 풍미를 위해 그을린 오크통에서 숙성되어 짙은 갈색에 맛과 향이 매우 강하게 느껴진다."
데킬라 골드,Tequila gold,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/070.%EB%8D%B0%ED%82%AC%EB%9D%BC%EA%B3%A8%EB%93%9C.png,"데킬라는 용설란의 일종으로 멕시코 데킬라 지방에서만 재배되는 아가베로 만든 술로 골드 데킬라는 이중 증류와 오크통에서 숙성시키는 특징이 있다."
데킬라 레포사도,Tequila Reposado,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/e95b74ef-e75b-47f9-85c2-0e9ccc959e46b76f44b6b4e35ff1e9668e919.png,"데킬라는 용설란의 일종인 멕시코 데킬라 지방에서만 재배되는 아가베로 만든 술이다. 레포사도는 오크통에 2개월 이상 숙성하여 약간 갈색을 띄고있다."
데킬라 블랑코,Tequila blanco,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/037.%EB%8D%B0%ED%82%AC%EB%9D%BC%EB%B8%94%EB%9E%91%EC%BD%94.png,"데킬라는 용설란의 일종으로 멕시코 데킬라 지방에서만 재배되는 아가베로 만든 술로 데킬라 블랑코는 화이트 데킬라로 불리며 무색, 투명하여 칵테일에 주로 사용됩니다. 가볍고 샤프한 맛으로 용설란을 발효시킨 후 단식증류기로 두 번 증류하여 스테인레스 통에 단기간 저장한다."
데킬라 아네호,Tequila Anejo,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/0da0b8dc-0b47-4a53-a3db-3f590dafc46eb76f44b6b4e35ff1e9668e91a.png,"데킬라는 용설란의 일종인 멕시코 데킬라 지방에서만 재배되는 아가베로 만든 술이다. 아네호는 오크통에서 1년 이상 숙성되어 향과 맛이 더 부드럽고 풍부한 고급 데킬라이다."
드람부이,Drambuie,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/019.%EB%93%9C%EB%9E%8C%EB%B6%80%EC%9D%B490.png,"몰트 위스키, 허브, 향신료 및 꿀로 만든 달콤한 스코트랜드 리큐르. 스코틀랜드의 고대 게릭어인 Dram Buid Heach로 사람을 만족시키는 음료라는 뜻이다."
라이 위스키,Rye whiskey,strong,40,https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_ITEM_MASTER/035.%EB%9D%BC%EC%9D%B4%EC%9C%84%EC%8A%A4%ED%82%A4.png,"라이(호밀) 51% 이상을 주재료로 곡물로 만든 위스키로, 발아시키지 않은 호밀과 맥아 또는 발아 호밀을 혼합해 만든 증류주입니다. 버번위스키와 색이 비슷하지만 맛과 향이 다릅니다."
